symbol,entry_datetime,exit_datetime,entry_price,exit_price,quantity,pnl,exit_reason
NAUKRI_MINUTE,2015-02-03T10:05:00.000000+0530,2015-02-03T10:35:00.000000+0530,815.163,811.5445090682144,24,-103.42534348255236,TSL
NAUKRI_MINUTE,2015-02-04T12:20:00.000000+0530,2015-02-04T12:55:00.000000+0530,784.10679,781.7764472634885,25,-74.88879548766099,TSL
NAUKRI_MINUTE,2015-02-04T14:45:00.000000+0530,2015-02-04T15:15:00.000000+0530,789.6578999999999,797.49047,25,178.92632178749943,EOD
NAUKRI_MINUTE,2015-02-09T09:25:00.000000+0530,2015-02-09T11:20:00.000000+0530,801.5602799999999,804.8669618061599,24,62.964885435996536,TSL
NAUKRI_MINUTE,2015-02-10T09:30:00.000000+0530,2015-02-10T11:10:00.000000+0530,812.06238,820.664889426146,24,189.78060055107875,TSL
NAUKRI_MINUTE,2015-02-12T09:25:00.000000+0530,2015-02-12T10:00:00.000000+0530,807.01137,806.3280796835368,24,-32.85298011094244,TSL
NAUKRI_MINUTE,2015-02-13T09:45:00.000000+0530,2015-02-13T10:35:00.000000+0530,812.41245,812.4462746246917,24,-15.761869472449131,TSL
NAUKRI_MINUTE,2015-02-13T13:45:00.000000+0530,2015-02-13T14:15:00.000000+0530,812.91255,812.2758456642588,24,-31.85591558055679,TSL
NAUKRI_MINUTE,2015-02-18T09:30:00.000000+0530,2015-02-18T15:15:00.000000+0530,822.31443,828.8342,24,139.61320466399712,EOD
NAUKRI_MINUTE,2015-02-20T10:50:00.000000+0530,2015-02-20T12:50:00.000000+0530,820.1139900000001,824.2882424668876,24,83.39663367673435,TSL
NAUKRI_MINUTE,2015-02-23T13:05:00.000000+0530,2015-02-23T13:50:00.000000+0530,815.3630400000001,814.365026489186,24,-40.572556497192345,TSL
NAUKRI_MINUTE,2015-02-24T13:20:00.000000+0530,2015-02-24T13:40:00.000000+0530,811.61229,819.106306452375,24,163.20058312382588,TSL
NAUKRI_MINUTE,2015-02-26T12:45:00.000000+0530,2015-02-26T13:00:00.000000+0530,794.30883,792.1369141649951,25,-71.14709466989146,TSL
NAUKRI_MINUTE,2015-02-27T12:45:00.000000+0530,2015-02-27T13:15:00.000000+0530,808.81173,808.2554506007106,24,-29.84312198687621,TSL
NAUKRI_MINUTE,2015-02-28T12:05:00.000000+0530,2015-02-28T12:35:00.000000+0530,824.11479,821.5995374192125,24,-77.14480232083108,TSL
NAUKRI_MINUTE,2015-03-09T12:50:00.000000+0530,2015-03-09T13:40:00.000000+0530,916.93335,913.5164965291606,21,-88.0817185275385,TSL
NAUKRI_MINUTE,2015-03-10T10:50:00.000000+0530,2015-03-10T13:00:00.000000+0530,912.7325099999999,911.9122188836226,22,-35.104576974795755,TSL
NAUKRI_MINUTE,2015-03-11T12:00:00.000000+0530,2015-03-11T12:30:00.000000+0530,881.9763599999999,875.0751706629857,22,-168.23561895533555,TSL
